task_id,action_summary,why_needed,destination,required_docs,steps_short,steps_detail,office_hours,address,phone,done_condition,faq
RN-D14-05,故人の介護保険被保険者証を返却し、保険料の精算と高額介護サービス費の還付があるか確認する。,保険料の過払い分が戻る場合があります。被保険者証の返却も必要です。,北竜町役場,介護保険被保険者証、負担割合証、届出人の本人確認書類、印鑑,1. 役場で「介護保険の届出をしたい」と伝える\n2. 被保険者証を返却する\n3. 保険料の還付・高額介護サービス費の該当を確認\n4. 施設入居だった場合は施設にも連絡して精算,1. 65歳以上（または40〜64歳で要介護認定あり）が対象。持ち物：被保険者証・負担割合証・届出人の本人確認書類と印鑑。\n2. —\n3. 「保険料の還付はありますか」「高額介護サービス費の該当はありますか」と聞いてください。\n4. 「利用料の精算と退所手続きについてお聞きしたい」と伝えてください。,平日 8:30-17:15,北海道雨竜郡北竜町字和11-1,0164-34-2111,被保険者証を返却し、保険料精算・還付の確認完了。,Q.65歳未満でも対象？→40〜64歳で要介護認定を受けていた方は対象です\nQ.施設の費用が未精算→施設に直接連絡してください\nQ.保険料の還付はある？→月途中で亡くなった場合、過払い分が還付されることがあります
RN-D14-06,年金事務所に届け出て、故人の年金の受給を止める。届出が遅れると、あとから返還を求められる。厚生年金は10日以内が期限。,届出が遅れると死亡後も年金が振り込まれ、返還手続きが非常に面倒になります。,年金事務所（砂川年金事務所）／国民年金のみは北竜町役場でも可,故人の年金証書、死亡確認書類、届出人の本人確認書類,1. 届出期限を確認する（厚生年金10日、国民年金14日）\n2. 年金事務所に電話して予約する\n3. 「死亡届と未支給年金の請求を同時にしたい」と伝える\n4. 受給権者死亡届を提出する,1. 届出先：厚生年金→砂川年金事務所（0125-52-3890）、国民年金のみ→役場でも可。\n2. —\n3. 同時に手続きすると1回の来所で済みます。持ち物：故人の年金証書・死亡確認書類・届出人の本人確認書類。\n4. 郵送でも提出可。マイナンバー登録済みなら届出不要の場合あり（事務所に確認）。届出が遅れると年金が振り込まれ、返還手続きが面倒になります。,平日 8:30-17:15,砂川年金事務所：北海道砂川市西4条北5-1-1,0125-52-3890／0570-05-1165,受給権者死亡届が提出され、年金受給が停止処理されている。,Q.年金証書が見つからない→基礎年金番号がわかれば手続きできます\nQ.マイナンバー登録済みなら届出不要？→省略できる場合があります。年金事務所に確認してください\nQ.死亡後に振り込まれた年金は？→返還が必要です。未支給年金と相殺できる場合があります\nQ.戸籍謄本とは？\n→故人の家族関係を証明する公的書類です。相続手続きでは「故人の出生から死亡まで」の連続した戸籍が必要になることが多いです。\nQ.戸籍はどこで取れる？\n→故人の本籍地の市区町村役場で取得できます。郵送請求も可能です。広域交付制度（2024年3月〜）により、最寄りの窓口で他自治体の戸籍も取得できる場合があります。事前に電話確認をおすすめします。\nQ.戸籍の取得費用は？\n→戸籍謄本は1通450円、除籍謄本・改製原戸籍は1通750円です。本籍地の変更回数が多いと、合計で数千円〜2万円程度かかることがあります。
RN-D14-07,故人が受け取れなかった年金（未支給年金）を請求する。年金は後払いのため、死亡月までの未受給分が発生する。,故人が受け取るはずだった年金を、生計を同じくしていた遺族が受け取れます。請求しないともらえません。,年金事務所（砂川年金事務所）／国民年金は北竜町役場,故人の年金証書、戸籍謄本、生計同一証明書類、振込先口座、印鑑,1. 故人と生計同一だった遺族が請求できる（配偶者→子→父母の順）\n2. 年金停止届（RN-D14-06）と同時に手続きする\n3. 「未支給年金・保険給付請求書」を記入・提出,1. 年金は後払いのため、死亡月までの未受給分（最大2か月分）が発生します。\n2. 持ち物：年金証書・戸籍謄本・生計同一証明（同居なら住民票、別居なら仕送り記録等）・振込先口座・印鑑。\n3. 審査後2〜3か月で振込されます。,平日 8:30-17:15,砂川年金事務所：北海道砂川市西4条北5-1-1,0125-52-3890／0570-05-1165,未支給年金の請求書が提出済み。,Q.誰が請求できる？→生計を同じくしていた遺族です（配偶者→子→父母の順）\nQ.別居でも請求できる？→経済的援助があれば認められることがあります。第三者の証明が必要です\nQ.いくらもらえる？→最大2か月分です
RN-D14-08,遺族基礎年金・遺族厚生年金の受給資格があるか確認し、該当する場合は請求手続きを進める。年額80〜200万円以上になることも。,遺族年金は生活を支える非常に大きな制度です。該当するなら必ず請求してください。,年金事務所（砂川年金事務所）,故人の年金証書、戸籍謄本、住民票、収入証明、振込先口座、死亡診断書コピー,1. 遺族基礎年金：18歳以下の子がいる配偶者/子が対象\n2. 遺族厚生年金：故人に会社員歴があれば子なし配偶者でも対象\n3. 年金事務所に電話して受給資格を確認\n4. 該当する場合は書類を揃えて請求する,1. 年額約80万円＋子の加算。\n2. 金額は加入期間と報酬による。年金事務所で試算してもらえます。\n3. 砂川年金事務所（0125-52-3890）に「遺族年金を受け取れるか確認したい」と伝える。年金証書を手元に準備。\n4. 請求から支給開始まで3〜4か月。5年以内なら遡及受給可。年額80〜200万円以上になることもあるので、必ず確認してください。,平日 8:30-17:15,砂川年金事務所：北海道砂川市西4条北5-1-1,0125-52-3890／0570-05-1165,受給資格の有無が確認済み。該当する場合は請求に着手済み。,Q.共働きでも受け取れる？→年収850万円未満なら受給できます\nQ.子どもがいなくてももらえる？→遺族厚生年金は子なしでも配偶者が受給できる場合があります\nQ.いくらもらえる？→加入期間と報酬によります。年金事務所で試算してもらえます\nQ.戸籍謄本とは？\n→故人の家族関係を証明する公的書類です。相続手続きでは「故人の出生から死亡まで」の連続した戸籍が必要になることが多いです。\nQ.戸籍はどこで取れる？\n→故人の本籍地の市区町村役場で取得できます。郵送請求も可能です。広域交付制度（2024年3月〜）により、最寄りの窓口で他自治体の戸籍も取得できる場合があります。事前に電話確認をおすすめします。\nQ.戸籍の取得費用は？\n→戸籍謄本は1通450円、除籍謄本・改製原戸籍は1通750円です。本籍地の変更回数が多いと、合計で数千円〜2万円程度かかることがあります。
RN-D14-09,故人名義の銀行口座について、各銀行に死亡を届け出る。届け出ると口座が凍結される。凍結前に引落し整理（RN-D7-10）を済ませておくこと。,口座凍結で不正引き出しを防止します。相続手続きの起点にもなります。,各銀行の窓口,届出者の本人確認書類、故人の通帳・カード、死亡確認書類,1. 自動引落しの整理（RN-D7-10）を先に完了する\n2. 口座がある銀行すべてに電話して届出方法を確認\n3. 各銀行の窓口で届出する\n4. 「相続手続きの必要書類リスト」をもらう,1.【重要】届出をすると口座が凍結されます。名義変更が必要な引落しを先に済ませてください。\n2. 「口座名義人が亡くなりました。届出をしたい」と伝えてください。\n3. 持ち物：届出人の本人確認書類・故人の通帳/カード・死亡確認書類。\n4. 当面の生活費が必要なら「相続預金の払戻し制度」で各口座150万円まで引出し可能です。口座の解約・払戻しは遺産分割確定後（RN-M10-05）に行います。,平日 9:00-15:00（窓口）,{要確認：北空知信金、JAきたそらち、北洋銀行深川支店、ゆうちょ銀行等},{要確認：各銀行の電話番号},全銀行口座について死亡届出が完了している。,Q.凍結されると生活費が引き出せない？→「相続預金の払戻し制度」で1口座150万円まで引き出せます\nQ.全部同時に届け出る？→同時でなくてOKですが、不正引き出し防止のため早めに届け出てください\nQ.ネット銀行は？→カスタマーセンターに電話して届け出てください\nQ.戸籍謄本とは？\n→故人の家族関係（配偶者・子供など）を証明する公的書類です。\nQ.「出生から死亡まで」の戸籍はなぜ必要？\n→相続人が誰なのかを正式に確認するためです。婚姻・離婚・養子縁組などで戸籍が変わるため、すべての変遷をたどる必要があります。\nQ.戸籍はどこで取れる？\n→故人の本籍地の市区町村役場で取得できます。本籍地が複数回変わっている場合は、それぞれの自治体から取り寄せが必要です。郵送請求も可能です。\nQ.戸籍の広域交付制度とは？\n→令和6年（2024年）3月から、最寄りの市区町村窓口で他の自治体の戸籍もまとめて取得できるようになりました。ただし一部対応していない自治体もあるため、事前に電話確認をおすすめします。\nQ.戸籍の取得費用は？\n→戸籍謄本は1通450円、除籍謄本・改製原戸籍は1通750円です。本籍地の変更回数が多いと、合計で数千円〜2万円程度かかることがあります。\nQ.「原戸籍」「除籍謄本」とは？\n→「改製原戸籍（かいせいはらこせき）」は法改正前の古い形式の戸籍です。「除籍謄本」は全員が転籍・死亡などで抜けた戸籍です。どちらも「出生から死亡まで」をたどる際に必要になることがあります。\nQ.戸籍の取り寄せを専門家に頼める？\n→司法書士や行政書士に依頼すれば、職権で戸籍を一括取得してもらえます。費用は数万円程度ですが、自分で複数の自治体に郵送請求する手間と時間を大幅に削減できます。
RN-D14-10,故人名義の証券口座について、証券会社に死亡を届け出る。届出後は相続手続き完了まで売買不可。,口座凍結で不正売却を防止します。相続手続き完了まで売買はできなくなります。,各証券会社の窓口/カスタマーセンター,届出者の本人確認書類、故人の口座番号がわかる書類、死亡確認書類,1. 証券口座の有無を確認する（郵便物・通帳の配当金入金等）\n2. 各社のカスタマーセンターに電話して届出する\n3. 相続人名義の口座開設についても確認する,1. 確定申告書控えやPCのブックマークも手がかりになります。\n2. 「口座名義人が亡くなりました。届出をしたい」と伝えてください。届出後は相続手続き完了まで売買不可。\n3. どの証券会社かわからない場合は、証券保管振替機構（ほふり）に開示請求できます。,各社による,,,全証券口座について死亡届出が完了。,Q.どの証券会社かわからない→通帳の入金記録、郵便物、確定申告書から手がかりを探してください\nQ.株価が下がっているので早く売りたい→相続手続き完了まで売買不可です。速やかに手続きを進めてください\nQ.証券保管振替機構に照会できる？→はい。相続人から照会請求できます\nQ.戸籍謄本とは？\n→故人の家族関係（配偶者・子供など）を証明する公的書類です。\nQ.「出生から死亡まで」の戸籍はなぜ必要？\n→相続人が誰なのかを正式に確認するためです。婚姻・離婚・養子縁組などで戸籍が変わるため、すべての変遷をたどる必要があります。\nQ.戸籍はどこで取れる？\n→故人の本籍地の市区町村役場で取得できます。本籍地が複数回変わっている場合は、それぞれの自治体から取り寄せが必要です。郵送請求も可能です。\nQ.戸籍の広域交付制度とは？\n→令和6年（2024年）3月から、最寄りの市区町村窓口で他の自治体の戸籍もまとめて取得できるようになりました。ただし一部対応していない自治体もあるため、事前に電話確認をおすすめします。\nQ.戸籍の取得費用は？\n→戸籍謄本は1通450円、除籍謄本・改製原戸籍は1通750円です。本籍地の変更回数が多いと、合計で数千円〜2万円程度かかることがあります。\nQ.「原戸籍」「除籍謄本」とは？\n→「改製原戸籍（かいせいはらこせき）」は法改正前の古い形式の戸籍です。「除籍謄本」は全員が転籍・死亡などで抜けた戸籍です。どちらも「出生から死亡まで」をたどる際に必要になることがあります。\nQ.戸籍の取り寄せを専門家に頼める？\n→司法書士や行政書士に依頼すれば、職権で戸籍を一括取得してもらえます。費用は数万円程度ですが、自分で複数の自治体に郵送請求する手間と時間を大幅に削減できます。
RN-D14-11,故人が加入していた生命保険・医療保険・共済（JA共済・県民共済等）の死亡保険金を請求する。,保険金は請求しないと支払われません。葬儀費用や当面の生活費に充てられるため、早めの請求をおすすめします。,各保険会社のカスタマーセンター／共済窓口,保険証券、死亡診断書コピー、受取人の本人確認書類・戸籍謄本・振込先口座・印鑑,1. 加入先を確認する（保険証券・通帳の引落し記録）\n2. 各社に電話して「死亡保険金の請求をしたい」と伝える\n3. 請求書類一式を取り寄せる\n4. 書類を揃えて記入・返送する,1. わからない場合は生命保険協会の「契約照会制度」で調べられます。\n2. —\n3. —\n4. 同封するもの：死亡診断書コピー・受取人の本人確認書類/戸籍謄本/振込先口座。5営業日〜1か月で振込。JA共済はJAきたそらち窓口で手続き可能。,各社による（多くは平日9:00-17:00）,,,全保険・共済の死亡保険金請求書を提出済み。,Q.保険証券が見つからない→生命保険協会の「契約照会制度」で調べられます\nQ.受取人が故人本人になっている→法定相続人が受取人になります\nQ.相続財産になる？→受取人が指定されていれば固有財産です。ただし相続税の対象にはなります
RN-D14-12,故人名義の自動車保険や火災保険について、保険会社に届け出て名義変更または解約する。特に自動車保険は早急に。,名義変更しないと事故時に保険金が支払われないおそれがあります。,各損害保険会社のカスタマーセンター/代理店,保険証券、死亡確認書類、新名義人の本人確認書類,1. 故人名義の損害保険を確認する（保険証券・通帳）\n2. 各社/代理店に電話して名義変更 or 解約を依頼\n3. 自動車保険は等級引継ぎの可否を確認\n4. 火災保険は保険の空白期間を作らないよう注意,1. —\n2. 「契約者が亡くなりました。名義変更（または解約）をしたい」と伝えてください。\n3. 同居の家族なら引き継げることが多いです。自動車保険は特に急いでください。\n4. 先に名義変更してから、必要に応じて切り替えてください。,各社による,,,全損害保険の名義変更/解約が完了。,Q.等級は引き継げる？→同居の親族なら引き継げることが多いです\nQ.火災保険は急ぐ？→保険の空白期間を作らないよう早めに対応してください\nQ.代理店がわからない→保険証券に代理店名と連絡先が記載されています
RN-D14-15,故人名義の電気・ガス・水道の契約について、名義変更または解約をする。住み続ける場合は名義変更、空き家にする場合は解約（冬季の水道は要注意）。,故人名義のままだと請求書が届かなくなったり、供給が停止されるリスクがあります。,電力会社・ガス会社・北竜町水道担当,故人名義の請求書/契約書、新名義人の本人確認書類,1. 故人名義の公共料金を確認する\n2. 住み続ける→各事業者に電話して名義変更\n3. 空き家にする→解約（冬季の水抜きに注意）\n4. 水道は北竜町役場（0164-34-2111）に連絡,1. 請求書・通帳の引落し記録で確認できます。\n2. 「契約者が亡くなりました。名義変更をお願いしたい」と伝えれば電話1本で完了することが多いです。\n3. 冬季（11〜3月）は水道管凍結リスクあり。必ず水抜きについて役場に相談してください。\n4. ガスの閉栓は立ち会いが必要な場合があります。ガス会社に日程調整を依頼してください。,各事業者による,,北竜町役場（水道）：0164-34-2111,全公共料金の名義変更/解約が完了。,Q.電話1本でできる？→名義変更は電話のみで完了することが多いです\nQ.冬に水道を解約する場合→凍結リスクがあります。必ず水抜き処理をしてください。役場に相談をおすすめします\nQ.ガスの閉栓は？→ガス会社に電話すれば立ち会い日を案内してもらえます
RN-D14-16,故人名義の携帯電話・サブスク（動画・音楽等）・各種アカウントを解約または名義変更する。解約前にSMSの二段階認証に使っているサービスがないか確認すること。,放置すると毎月料金が発生し続けます。携帯番号はSMSの二段階認証に使われていることが多いため、解約前に他サービスの引き継ぎを確認してください。,各キャリアショップ・サービスのカスタマーセンター,故人の携帯・SIMカード、届出人の本人確認書類、死亡確認書類、故人との関係がわかる書類,1. SMS二段階認証に使われているサービスがないか確認\n2. 通帳・カード明細からサブスクをリスト化\n3. 各サービスに連絡して解約する\n4. 携帯電話は最後に解約する\n5. SNSは追悼アカウント設定 or 削除申請,1.【重要】携帯を先に解約すると、他のサービスにログインできなくなる恐れがあります。\n2. —\n3. ログインできない場合は各社カスタマーセンターに「契約者が亡くなったので解約したい」と電話。\n4. キャリアに電話 or ショップで手続き。北竜町にショップなし、電話/オンライン推奨。死亡解約は違約金免除が多い。\n5. LINEのバックアップは解約前に。,キャリアショップ：10:00〜19:00が一般的,{要確認：深川市のキャリアショップ。北竜町にはショップなし。電話/オンライン手続き推奨},,全携帯電話・サブスクの解約/名義変更が完了。,Q.暗証番号がわからなくて解約できない？→戸籍謄本と死亡証明があれば解約できるキャリアがほとんどです\nQ.LINEのデータを残したい→解約前にバックアップを取ってください\nQ.違約金はかかる？→死亡による解約は免除されることが多いです
RN-D14-17,故人名義のクレジットカードについて、カード会社に届け出て解約する。カード決済のサブスクや定期支払いがないかも確認。,放置すると年会費が発生し、不正利用のリスクもあります。,各カード会社のカスタマーセンター,クレジットカード/会員番号、届出人の本人確認書類、死亡確認書類,1. 故人名義のカードをリストアップする\n2. 各社に電話して「名義人死亡による解約」を依頼\n3. カード決済のサブスク・未払い残高・リボ残高を確認\n4. カード本体をハサミで裁断,1. 財布・郵便物・通帳・スマホ決済アプリを確認してください。\n2. 会員番号不明でも氏名・生年月日と死亡証明で手続きできます。\n3. カード解約前にサブスクの切り替え先を確認しておいてください。\n4. ICチップ部分と磁気ストライプ部分を切断してください。,各社による（24時間対応あり）,,,全カードの解約完了、未払い残高の精算方法確認済み。,Q.暗証番号がわからなくても解約できる？→はい。会員番号と死亡証明でOKです\nQ.リボ払いの残高がある→相続人に支払い義務があります。一括か分割か相談してください\nQ.ポイントは使える？→ほとんどの場合失効します。カード会社に確認してください\nQ.戸籍謄本は必要？\n→カード会社によって異なります。相続残債がある場合は戸籍謄本を求められることがあります。\nQ.戸籍はどこで取れる？\n→故人の本籍地の市区町村役場で取得できます。広域交付制度（2024年3月〜）により、最寄りの窓口でも取得できる場合があります。
RN-D14-18,故人名義の賃貸住宅（町営住宅含む）の名義変更または解約をする。住み続ける場合は名義変更、退去する場合は解約。,町営住宅は独自の規定があるため早めに役場に相談してください。,民間：管理会社・大家／町営住宅：北竜町役場,賃貸借契約書、届出人の本人確認書類、死亡確認書類,1. 町営住宅→役場に連絡（承継 or 退去を相談）\n2. 民間賃貸→管理会社/大家に連絡（名義変更 or 解約）\n3. 退去する場合は遺品整理の日程も調整,1. 北竜町役場 0164-34-2111。同居家族なら承継（名義変更）できる場合があります。\n2. 解約は通常1か月前予告が必要。敷金精算も確認してください。\n3. 業者に依頼する場合は2〜3社から見積もりを取ることをおすすめします。,役場：平日 8:30-17:15／管理会社：営業時間内,北海道雨竜郡北竜町字和11-1（町営住宅）,0164-34-2111（役場）,賃貸住宅の名義変更/解約の手続きが完了（開始済み）。,Q.町営住宅に住み続けたい→同居家族なら承継できる場合があります。役場に相談してください\nQ.退去のタイミング→解約予告期間（通常1か月前）が必要です\nQ.遺品整理業者を探している→北竜町近隣の業者に見積もりを取ってください
RN-D14-19,NHK受信契約の解約/名義変更、固定電話の解約/名義変更、郵便物の転送届を手続きする。,NHK受信料は放置すると請求が続きます。郵便転送届を出さないと重要な書類が届かなくなります。,NHK：電話／固定電話：NTT等／郵便局,故人の契約情報（お客様番号等）、届出者の本人確認書類,1. NHK→0120-151515に電話して解約 or 名義変更\n2. 固定電話→116番に電話して解約 or 名義変更\n3. 郵便転送→郵便局で転居届を提出（またはe転居でWeb手続き）,1. 電話だけで完了します。一人暮らしでテレビを置かない→解約、同居家族がいる→名義変更。\n2. 番号を残したい場合は名義変更で引き継げます。\n3. 転送期間は1年間（延長可）。故人宛の重要書類（税金通知・保険案内等）を見逃さないために必ず行ってください。,NHK 9:00-17:00／NTT 116 9:00-17:00／郵便局 平日9:00-17:00,最寄りの郵便局,NHK：0120-151515／NTT：116,NHK・固定電話の解約/名義変更が完了し、郵便転送届が提出済み。,Q.NHK解約に証明書は必要？→電話のみで完了することが多いです\nQ.転送期間はどのくらい？→1年間です。延長もできます\nQ.固定電話の番号を残したい→名義変更で引き継げます
RN-D14-20,故人が遺言書を残していないか、自宅・銀行の貸金庫・法務局・公証役場を確認する。自筆証書遺言（法務局保管以外）は絶対に開封しないこと。,遺言書がある場合はその内容に基づいて相続手続きが進みます。無視して分割するとトラブルの原因になります。,故人の自宅／法務局／公証役場,確認時：特になし／照会時：本人確認書類、戸籍謄本等,1. 故人の自宅を探す（仏壇・金庫・書斎・タンス）\n2. 法務局で保管の有無を確認する（800円）\n3. 公証役場の遺言検索システムで公正証書遺言を確認\n4. 自筆遺言が見つかったら絶対に開封せず家庭裁判所で検認,1. 銀行の貸金庫も確認してください。\n2. 旭川地方法務局本局（0166-38-1111）で「遺言書保管事実証明書」を請求（郵送請求も可）。\n3. 戸籍謄本と本人確認書類を持参して照会。\n4. 法務局保管・公正証書の場合は検認不要でそのまま使えます。遺言書がなければ遺産分割協議（RN-M3-11）へ。,法務局・公証役場：平日 8:30-17:15,旭川地方法務局：北海道旭川市宮前1条3丁目3番15号,0166-38-1111,遺言書の有無が確認済み。ある場合は検認手続き（必要時）に着手済み。,Q.見つけた遺言書を開けてしまった→開封しても遺言書は無効にはなりませんが、過料の対象になることがあります。速やかに家裁で検認してください\nQ.遺言書がなかったら→法定相続分に基づいて遺産分割協議を行います\nQ.遺言書の内容に納得できない→遺留分侵害額請求（期限1年）が可能です
RN-D14-22,故人のマイナンバーカード（または通知カード）を北竜町役場に返す。悪用防止のため。,死亡届提出でカードは自動的に無効になりますが、悪用防止のため返却が推奨されています。,北竜町役場 1F 住民課,故人のマイナンバーカード/通知カード、届出人の本人確認書類,1. 返却前に12桁の番号をメモまたは撮影\n2. 役場1F住民課に持参して返却\n3. 見つからない場合はその旨伝えればOK,1. 相続税申告等で番号が必要になる場合があります。\n2. 持ち物：故人のカード・届出人の本人確認書類。\n3. 罰則はありません。,平日 8:30-17:15,北海道雨竜郡北竜町字和11-1,0164-34-2111,マイナンバーカードを返却済み、または紛失旨を届出済み。,Q.返さないと罰則がある？→罰則はありませんが、悪用防止のため返却をおすすめします\nQ.見つからない→窓口でその旨伝えれば大丈夫です\nQ.マイナンバーは今後使う？→相続税申告等で使う場合があります。番号をメモしておいてください
RN-D14-23,故人が会社の健康保険（社保）に加入していて、その扶養に入っていた方は、国民健康保険への加入またはご自身の勤務先の保険への切り替えが必要。,故人の社保資格喪失に伴い、扶養家族の資格もなくなります。手続きしないと無保険状態になります。,国保：北竜町役場／ご自身の勤務先,故人の保険証（または資格喪失証明書）、被扶養者の本人確認書類、印鑑,1. 14日以内に切り替えないと無保険状態になる\n2. 自分の勤務先の社保に加入→総務に連絡\n3. 国保に加入→役場に資格喪失証明書を持参\n4. 任意継続（最長2年）→国保と保険料を比較して決める,1. 故人の社保の扶養に入っていた方全員が対象です。\n2. お子さんも一緒に扶養に入れられます。\n3. 資格喪失証明書は故人の勤務先から入手。持ち物：資格喪失証明書・本人確認書類・印鑑。\n4. 任意継続は20日以内に申し込みが必要。保険料が全額自己負担になるため高くなることが多いです。切り替え前に病院にかかったら、後日新保険証を提示すれば差額返金されます。,平日 8:30-17:15（役場）,北海道雨竜郡北竜町字和11-1,0164-34-2111,被扶養者全員の保険切り替えが完了し、新しい保険証を取得済み。,Q.切り替え前に病院にかかったら→後から精算できます。新しい保険証を後日病院に提出してください\nQ.国保と任意継続どちらがお得？→保険料を比較してください。故人の給与が高かった場合は国保の方が安いことが多いです\nQ.子どもの保険は？→国保に加入するか、もう一方の親の社保の扶養に入れてください
RN-D14-24,"配偶者が亡くなり、高校卒業までのお子さんがいる場合、児童扶養手当（月額最大45,500円）やひとり親関連の給付を確認・申請する。",申請月の翌月分から支給されるため、早めの申請が有利です。,北竜町役場,請求者と子の戸籍謄本、住民票、所得証明書、振込先口座、年金手帳、印鑑,1. 配偶者死亡＆18歳以下の子がいる場合が対象\n2. 役場に電話して「児童扶養手当の申請を相談したい」と伝える\n3. 必要書類を揃えて窓口で申請\n4. ひとり親医療費助成・就学援助・住宅手当も確認,"1. 全部支給で月額45,500円（子1人。最新額は役場にご確認ください）所得制限あり。\n2. 0164-34-2111。必要書類を案内してもらえます。\n3. 主な持ち物：戸籍謄本・住民票・所得証明書・振込先口座・印鑑。\n4. 児童手当の受給者変更も忘れずに。遺族年金と併給の場合は差額支給。",平日 8:30-17:15,北海道雨竜郡北竜町字和11-1,0164-34-2111,受給資格確認済み。該当する場合は申請提出済み。,"Q.いくらもらえる？→全部支給で月45,500円（2024年11月〜。最新額は役場にご確認ください）\nQ.所得制限はある？→全部支給は年収約160万円以下が目安です\nQ.遺族年金と両方もらえる？→遺族年金の額が児童扶養手当より少なければ差額が支給されます"
RN-D14-25,故人が亡くなった年度の住民税・固定資産税は相続人に納付義務が引き継がれる。多くの自治体が「相続人代表者指定届」の提出を求めるため、届出と支払い方法を確認する。,亡くなった方の税金は消えるわけではなく、相続人が引き継いで納付します。届出をしないと、納税通知書が届かず延滞金が発生するおそれがあります。,北竜町役場,届出人の本人確認書類、印鑑、故人の納税通知書（届いている場合）,1. 役場に電話して「亡くなった家族の税金の届出について聞きたい」と伝える\n2. 相続人代表者指定届を提出する\n3. 届いた納税通知書の内容を確認し、納付する\n4. 固定資産税がある場合は評価証明書も取得しておく（相続登記で使う）,1. 北竜町役場（0164-34-2111）。住民税は故人の前年所得に対して課税されるため、不動産がなくても発生します。\n2. 届出書は窓口でもらえます。相続人のうち誰が代表して通知を受け取るかを届け出ます。\n3. 故人が亡くなった月によっては、すでに納付済みの場合もあります。「過払い分の還付はありますか」と聞いてください。\n4. 固定資産評価証明書は1通約300円。相続登記（RN-Y3-01）で必要になります。,平日 8:30-17:15,北海道雨竜郡北竜町字和11-1,0164-34-2111,相続人代表者届を提出済み。納付方法を確認済み。,Q.死んだ人の税金を払うの？→はい。相続人に納付義務が引き継がれます\nQ.届出しないとどうなる→納税通知書が届かず延滞金が発生するおそれがあります\nQ.固定資産税は誰が払う？→遺産分割が決まるまでは相続人全員に連帯納付義務があります。代表者届で通知先を一本化できます
RN-D14-27,故人がiDeCo（個人型確定拠出年金）や企業型確定拠出年金（企業型DC）に加入していた場合、遺族が「死亡一時金」を請求できる。請求しないと5年で権利が消滅し国庫に帰属する。,数十万〜数百万円の資産が請求漏れで国庫に帰属するケースが実際に発生しています。公的年金（RN-D14-06〜08）とは別の制度なので、忘れずに確認してください。,iDeCo：加入していた金融機関（運営管理機関）／企業型DC：故人の勤務先,死亡診断書コピー、届出人の本人確認書類、戸籍謄本、届出人の振込先口座,1. 故人がiDeCo・企業型DCに加入していたか確認する\n2. iDeCo→運営管理機関に電話して「加入者死亡による一時金請求をしたい」と伝える\n3. 企業型DC→故人の勤務先の総務に連絡する\n4. 請求書類を取り寄せ、記入・返送する,1. 確認方法：故人の勤務先に聞く、通帳の引落し記録で「国民年金基金連合会」の記載を探す、故人宛の郵便物で運営管理機関からの通知を探す。\n2. 運営管理機関がわからない場合は、国民年金基金連合会（03-5411-6129）に「加入者が亡くなりました。運営管理機関を教えてほしい」と問い合わせてください。\n3. 企業型DCは勤務先の総務/人事が手続きを案内してくれます。故人の勤務先届出（RN-D7-14）と一緒に確認するとスムーズです。\n4. 審査後1〜2か月で振込。受取人の順位は配偶者→子→父母→孫→祖父母→兄弟姉妹。,国民年金基金連合会：平日 9:00-17:00,,国民年金基金連合会：03-5411-6129,加入の有無を確認済み。加入していた場合は請求書を提出済み。,Q.加入しているかわからない→勤務先に聞くか、通帳で「国民年金基金連合会」の引落しを探してください\nQ.いくらもらえる？→加入期間と運用状況によります。運営管理機関に残高を確認してください\nQ.公的年金の手続きとは別？→はい。遺族年金（RN-D14-08）や未支給年金（RN-D14-07）とはまったく別の手続きです\nQ.請求期限は？→5年です。期限を過ぎると国庫に帰属し、取り戻せません
RN-D14-28,故人が「契約者」として保険料を払い、被保険者が配偶者や子など別の家族になっている生命保険・医療保険がないか確認する。口座凍結で保険料の引落しが止まると、家族の保険が失効するおそれがある。,故人の死亡保険金の請求（RN-D14-11）とは別に、故人が保険料を払っていた家族の保険が存在する場合があります。口座凍結で引落しが止まり、気づかないうちに保険が失効すると取り返しがつきません。,各保険会社のカスタマーセンター／共済窓口,保険証券、届出人の本人確認書類、死亡確認書類,1. 故人名義の保険証券をすべて確認する\n2. 「契約者＝故人、被保険者＝家族」の保険がないか探す\n3. 該当する保険があれば保険会社に連絡して契約者変更をする\n4. 保険料の支払い方法を変更する,1. 保険証券の「契約者」「被保険者」「受取人」の欄を確認してください。通帳の引落し記録も手がかりになります。\n2. よくあるパターン：夫が契約者で妻が被保険者の医療保険、親が契約者で子が被保険者の学資保険・生命保険。\n3. 「契約者が亡くなりました。契約者変更の手続きをしたい」と伝えてください。被保険者または保険金受取人が新しい契約者になるのが一般的です。\n4. 口座凍結で引落しが止まっても、多くの保険会社は一定期間（1〜3か月）は失効を猶予します。ただし猶予期間を過ぎると失効するため、早めの手続きを強くおすすめします。,各社による（多くは平日9:00-17:00）,,,「契約者＝故人、被保険者＝家族」の保険の有無を確認済み。該当する場合は契約者変更・支払い方法変更が完了。,Q.どうやって見つける？→保険証券の「契約者」と「被保険者」が違う人になっている保険を探してください\nQ.失効したらどうなる？→保障がなくなります。復活できる場合もありますが、健康状態の審査が必要になることがあります\nQ.学資保険も対象？→はい。契約者が故人で被保険者がお子さんの学資保険は、契約者変更が必要です。払込免除特約がついている場合もあるので保険会社に確認してください
